"Site Name","Site Order ID","ChannelAdvisor Order ID","Buyer","SKU","Title","Order Date","Shipment Status Date","Payment Type","Quantity","Order Total","Shipping Status","Fulfillment"
"Amazon Seller Central - US","111-6820031-6609050","19038618","","MSS-H0141003-SZ-OS","Champion Ripstop Mens Hats Size OS, Color: Black/White/Red","2/20/2022 2:23 AM","2/21/2022 6:47 PM","Amazon","1","$31.91","Shipped","Externally Managed"
"Amazon Seller Central - US","113-5545287-1853008","19038548","","5SR21486840-SZ-7.5","Fila Memory Electro Volt 2 Womens Shoes Size 7.5, Color: Orange","2/20/2022 2:30 AM","2/21/2022 8:29 AM","Amazon","1","$42.79","Shipped","Seller Managed"
"Amazon Seller Central - US","111-9477556-5245008","19038617","","D97832-SZ-8.5","Adidas Crazyflight X 3 Mens Shoes Size 8.5, Color: Black/White/Gum","2/20/2022 5:12 AM","2/20/2022 12:46 PM","Amazon","1","$64.90","Shipped","Externally Managed"
"Amazon Seller Central - US","111-8207538-4385800","19038639","","1QM00014241-SZ-10","Fila Midland Mens Shoes Size 10, Color: Brown/Orange","2/20/2022 6:26 AM","2/21/2022 8:29 AM","Amazon","1","$54.02","Shipped","Seller Managed"
"Amazon Seller Central - US","111-5796879-5749001","19038616","","G28058-SZ-11.5","Adidas Solar Boost 19 Mens Shoes Size 11.5, Color: Cloud White/Grey One/Solar Orange","2/20/2022 6:29 AM","2/28/2022 6:46 AM","Amazon","1","$88.95","Shipped","Externally Managed"
"Amazon Seller Central - US","112-9707560-1804252","19038615","","5SLW5000001-SZ-11","Fila Memory Viable Sr Womens Shoes Size 11, Color: Black","2/20/2022 6:33 AM","2/21/2022 6:46 PM","Amazon","1","$49.63","Shipped","Externally Managed"
"Amazon Seller Central - US","113-9472538-4471455","19038614","","DA9835-SZ-8","Adidas Qtflex Womens Shoes Size 8, Color: Grey/Bronze/White","2/20/2022 6:37 AM","2/23/2022 12:47 AM","Amazon","1","$49.87","Shipped","Externally Managed"
"Amazon Seller Central - US","112-5734071-5023448","19038651","","1QM00014241-SZ-11.5","Fila Midland Mens Shoes Size 11.5, Color: Brown/Orange","2/20/2022 6:45 AM","2/21/2022 8:29 AM","Amazon","1","$54.19","Shipped","Seller Managed"
"Amazon Seller Central - US","113-3536381-7377803","19039116","","MSS-1012A708002-SZ-10","Asics Gel-Venture 8 Womens Shoes Size 10, Color: Black/Ivory","2/20/2022 6:51 AM","2/23/2022 6:47 PM","Amazon","1","$69.90","Shipped","Externally Managed"
"Amazon Seller Central - US","111-4502809-5809022","19038681","","G454Y4435-SZ-9.5","Asics Hyper Ld 5 Athletic Womens Shoes Size 9.5, Color: Enamel Blue/Hot Pink/Sharp Green","2/20/2022 7:17 AM","2/21/2022 8:28 AM","Amazon","1","$48.04","Shipped","Seller Managed"
