Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
112-3255897-0382656	28-Apr-2022	07-May-2022	Approved	Dq9v2Rx4RRMA	 	AmazonPrePaidLabel	5.70	USD	UPS	1Z2A05729093823095	Seller	N	N	B084Q1LGVG	EF0765-SZ-9.5	adidas Originals Tresc Run Mens Running Shoes Ef0765 Size 9.5	1	CR-SWITCHEROO	Y	C-Returns	StandardRefund	 	 	77.06	1	 	 	 	 	 	 
111-5797944-2007429	07-Mar-2022	22-Apr-2022	Approved	DBKGy6xfRRMA	 	AmazonPrePaidLabel	9.00	USD	UPS	1Z2A05729086727122	Seller	N	N	B00D3QFGX4	G404Y0493-SZ-10	ASICS Men's Hyper LD 5 Track & Field Shoes, Flash Yellow/Silver/Navy, Size 10	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	47.93	1	 	 	 	 	 	47.93
111-9132517-4974629	10-Mar-2022	20-Apr-2022	Approved	DQM4yjxRRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540011721736	Seller	N	N	B00KOLW7XI	G454Y3034-SZ-7.5	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,7.5 M US	1	AMZ-PG-MISORDERED	Y	C-Returns	RefundAtFirstScan	 	 	51.76	1	 	 	 	 	 	51.76
114-3243816-2619419	15-Mar-2022	20-Apr-2022	Approved	DrQ5y8xQRRMA	 	AmazonPrePaidLabel	6.02	USD	UPS	1Z2A05729085479152	Seller	N	N	B00D3RFAI4	G454Y4435-SZ-9.5	ASICS Women's Hyper LD 5 Track Shoe,Enamel Blue/Hot Pink/Sharp Green,9.5 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	113.29	2	 	 	 	 	 	48.54
112-1459721-9385065	08-Apr-2022	17-Apr-2022	Approved	DhFvwyxxRRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729084247378	Seller	N	N	B01MT1YZYZ	S82459-SZ-4.5	adidas Boy's Nemeziz 17.4 FxG J Soccer Shoe, White/Solar Yellow/Black, 4.5 Medium US Little Kid	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	71.02	1	 	 	 	 	 	71.02
113-7877698-6869002	15-Mar-2022	15-Apr-2022	Approved	D79TwrxqRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540010322668	Seller	N	N	B00D3QJ1QC	G306Y9390-SZ-11.5	ASICS Men's Hypersprint 5 Track Shoe,Quicksilver/Black,11.5 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	52.53	1	 	 	 	 	 	 
111-4859703-0797055	23-Feb-2022	15-Apr-2022	Closed	 	 	 	 	 	 	 	Seller	N	N	B07W8VY7CV	1QM00014241-SZ-9.5	Fila Midland Brown/Orange 9.5 D (M)	1	CR-QUALITY_UNACCEPTABLE	N	Amazon CS	StandardRefund	 	 	53.39	1	 	 	 	 	 	 
114-9872831-1298645	07-Mar-2022	14-Apr-2022	Approved	DppTwLxSRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540009789571	Seller	N	N	B00KOLE8LM	G404Y4399-SZ-8	ASICS Men's Hyper LD 5 Track And Field Shoe,Deep Blue/Onyx/Flash Yellow,8 M US	1	CR-MISSED_ESTIMATED_DELIVERY	Y	C-Returns	StandardRefund	 	 	54.77	1	 	 	 	 	 	 
114-6251707-5909825	12-Mar-2022	12-Apr-2022	Approved	DQkXBYx4RRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729081987977	Seller	N	N	B00D3QFWWE	G404Y0493-SZ-8	ASICS Men's Hyper LD 5 Shoe,Flash Yellow/Silver/Navy,8 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	44.90	1	 	 	 	 	 	44.90
111-2892378-4047443	09-Mar-2022	11-Apr-2022	Approved	Ds90B3xHRRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729081319966	Seller	N	N	B09MMKLJ3H	MSS-3FM01013101-SZ-4.5	Fila Disruptor II Diamante (Kids) White/Iridescent	1	CR-MISSED_ESTIMATED_DELIVERY	Y	C-Returns	RefundAtFirstScan	 	 	64.84	1	 	 	 	 	 	64.84
