Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
114-9491327-6024255	17-Feb-2022	23-Feb-2022	Approved	D4G7jjRHRRMA	 	AmazonPrePaidLabel	5.48	USD	UPS	1Z2A05729059809255	Seller	N	N	B00L8C3MFE	ABBRD-G551Y2901-SZ-8	ASICS Women's Hyper-Rocketgirl SP 6 Cross Country Spike Shoe, Orange/White/Dark Purple, 8 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	48.38	1	 	 	 	 	 	 
111-2383613-2740266	14-Feb-2022	23-Feb-2022	Approved	DjshjKRlRRMA	 	AmazonPrePaidLabel	6.18	USD	UPS	1Z2A05729059794280	Seller	N	N	B003Z4KSAA	ABBRD-1006980-SZ-11.5	KEEN Utility Men's PTC Oxford Low Height Non Slip Food Service Chef Shoe, Black/Black, 11.5 Medium US	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	 	86.03	1	 	 	 	 	 	 
111-2383613-2740266	14-Feb-2022	23-Feb-2022	Approved	DvsHjqRSRRMA	 	AmazonPrePaidLabel	6.18	USD	UPS	1Z2A05729059791372	Seller	N	N	B003Z4KSAA	ABBRD-1006980-SZ-11.5	KEEN Utility Men's PTC Oxford Low Height Non Slip Food Service Chef Shoe, Black/Black, 11.5 Medium US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	86.03	1	 	 	 	 	 	 
111-2383613-2740266	14-Feb-2022	23-Feb-2022	Approved	DtsQjVRGRRMA	 	AmazonPrePaidLabel	6.18	USD	UPS	1Z2A05729059789732	Seller	N	N	B003Z4KSAA	ABBRD-1006980-SZ-11.5	KEEN Utility Men's PTC Oxford Low Height Non Slip Food Service Chef Shoe, Black/Black, 11.5 Medium US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	86.03	1	 	 	 	 	 	 
111-8094226-4328252	19-Feb-2022	23-Feb-2022	Approved	DBsGjtRvRRMA	 	AmazonPrePaidLabel	5.48	USD	UPS	1Z2A05729059776602	Seller	N	N	B01DAX79L6	AB-S290342-SZ-11	Saucony Men's Spitfire 4 Track Shoe, Royal/White, 11 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	86.07	1	 	 	 	 	 	 
113-3623713-7573066	12-Feb-2022	22-Feb-2022	Approved	DtKHZFRjRRMA	 	AmazonPrePaidLabel	5.48	USD	UPS	1Z2A05729059380048	Seller	N	N	B00L8C3LLO	ABBRD-G551Y2901-SZ-7.5	ASICS Women's Hyper-Rocketgirl SP 6 Cross Country Spike Shoe, Orange/White/Dark Purple, 7.5 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	48.83	1	 	 	 	 	 	 
112-2250145-4705848	19-Feb-2022	22-Feb-2022	Approved	D5KZZrRYRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540083278381	Seller	N	N	B07PZ6RH73	ABBRD-G28290-SZ-10	adidas unisex baby Icon V Md Sneaker, Ftwr White/ Silver Met Ftwr White, 10K Standard US Width US Toddler	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	59.01	1	 	 	 	 	 	 
114-2961165-6917047	11-Feb-2022	22-Feb-2022	Approved	D2SLZ7RSRRMA	 	AmazonPrePaidLabel	5.48	USD	UPS	1Z2A05729059248834	Seller	N	N	B0851QYSNH	ABBRD-CN5464-SZ-9	Reebok Club C 85 Womens Shoes Size 9, Color: Beige/Blue	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	64.09	1	 	 	 	 	 	 
114-2313123-7589833	16-Feb-2022	22-Feb-2022	Approved	Df38ZzRdRRMA	 	AmazonPrePaidLabel	6.18	USD	UPS	1Z2A05729058995181	Seller	N	N	B07L274XSB	AB-FBAVN000EE3W00-SZ-5	Vans Authentic Unisex Shoes Size 5, Color: True White	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	54.02	1	 	 	 	 	 	 
113-3092100-8292204	16-Feb-2022	21-Feb-2022	Approved	DjjMZzRrRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540083013302	Seller	N	N	B00KOH5V0I	ABBRD-G454Y3034-SZ-7	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,7 M US	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	57.00	1	 	 	 	 	 	 
113-7661676-6037869	03-Feb-2022	21-Feb-2022	Approved	Dv7qZ8RMRRMA	 	AmazonPrePaidLabel	8.03	USD	UPS	1Z2A05729058818194	Seller	N	N	B003Z4KSFU	ABBRD-1006981-SZ-11.5	KEEN Utility mens Ptc Dress Oxford Low Height Non Slip Chef Food Service Shoe, Black/Black, 11.5 US	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	89.96	1	 	 	 	 	 	 
114-0477987-7737837	12-Feb-2022	21-Feb-2022	Approved	D527ZtRxRRMA	 	AmazonPrePaidLabel	5.48	USD	UPS	1Z2A05729058594319	Seller	N	N	B00KOLDZHK	ABBRD-G404Y4399-SZ-12	ASICS Men's Hyper LD 5 Track And Field Shoe,Deep Blue/Onyx/Flash Yellow,12 M US	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	47.59	1	VALID_DIFFERENT_CONDITION_ITEM_RECEIVED	16376-07043-5134464	GRANT	23-Feb-2022	8.98	47.59
111-3070304-4926621	14-Feb-2022	21-Feb-2022	Approved	D2V0ZCRpRRMA	 	AmazonPrePaidLabel	5.48	USD	UPS	1Z2A05729058565118	Seller	N	N	B01MYN84LR	ABBRD-S2866228-SZ-8.5	Saucony Originals Jazz Lowpro Sneaker,Charcoal Tan,8.5 Medium US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	56.86	1	 	 	 	 	 	 
111-5774946-7329832	15-Feb-2022	20-Feb-2022	Approved	DTW6ZPRSRRMA	 	AmazonPrePaidLabel	5.86	USD	UPS	1Z2A05729058382397	Seller	N	N	B07KCM8F3L	ABBRD-AJ0424401-SZ-5.5	Nike Mens Sf Af1 Mid (Gs) Ocean Bliss/Ocean Bliss Aj0424 401 - Size 5.5Y	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	116.49	1	 	 	 	 	 	 
