Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
114-7492251-3813823	13-Mar-2022	21-Mar-2022	Approved	Dj8Hk3xfRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729071216041	Seller	N	N	B07CYGTGXZ	ABBRD-AH5211400-SZ-6	Nike Air Max 90 E2 Boys Shoes Size 6, Color: Racer Blue/Total Crimson/Black	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	79.90	1	 	 	 	 	 	 
113-0876305-3909822	14-Mar-2022	21-Mar-2022	Approved	DYgmkhxBRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540003146059	Seller	N	N	B00KOH5WYI	ABBRD-G454Y3034-SZ-8	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,8 M US	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	52.90	1	 	 	 	 	 	 
112-0926954-8360259	05-Mar-2022	21-Mar-2022	Approved	D7Mgk4xBRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729071057688	Seller	N	N	B00L8C3K8I	ABBRD-G551Y2901-SZ-7	ASICS Women's Hyper-Rocketgirl SP 6 Cross Country Spike Shoe, Orange/White/Dark Purple, 7 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	47.93	1	 	 	 	 	 	47.93
114-7485336-5350612	14-Mar-2022	21-Mar-2022	Approved	DBb1kFxrRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540003016611	Seller	N	N	B00KOLW6BQ	ABBRD-G454Y3034-SZ-10.5	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,10.5 M US	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	122.64	2	 	 	 	 	 	 
114-7485336-5350612	14-Mar-2022	21-Mar-2022	Approved	DFbykGxrRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729070913469	Seller	N	N	B00D3RF5GQ	ABBRD-G454Y4435-SZ-10	ASICS Women's Hyper LD 5 Track Shoe,Enamel Blue/Hot Pink/Sharp Green,10 M US	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	122.64	2	 	 	 	 	 	 
114-4173985-7769067	07-Mar-2022	20-Mar-2022	Approved	DT9mkKxMRRMA	 	AmazonPrePaidLabel	5.90	USD	UPS	1Z2A05729070786937	Seller	N	N	B0009WA2NY	ABBRD-S2044441-SZ-10	Saucony Men's Ride ISO, Grey Shade, 10 D	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	79.90	1	 	 	 	 	 	 
111-4663840-2240249	08-Mar-2022	20-Mar-2022	Approved	Djh4k3xyRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729070673942	Seller	N	N	B00L8C3K8I	ABBRD-G551Y2901-SZ-7	ASICS Women's Hyper-Rocketgirl SP 6 Cross Country Spike Shoe, Orange/White/Dark Purple, 7 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	44.90	1	 	 	 	 	 	 
111-8057933-6580239	01-Mar-2022	19-Mar-2022	Approved	DZHMkrxRRRMA	 	AmazonPrePaidLabel	11.12	USD	USPS	9201990153540111651999	Seller	N	N	B00L8C3K8I	ABBRD-G551Y2901-SZ-7	ASICS Women's Hyper-Rocketgirl SP 6 Cross Country Spike Shoe, Orange/White/Dark Purple, 7 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	48.83	1	 	 	 	 	 	 
113-9134903-3133041	14-Mar-2022	19-Mar-2022	Approved	D4f8k4xmRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540002704748	Seller	N	N	B00KOH5X1A	ABBRD-G454Y3034-SZ-9	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,9 M US	1	CR-MISSED_ESTIMATED_DELIVERY	Y	C-Returns	StandardRefund	 	 	52.90	1	 	 	 	 	 	 
113-1669200-9892251	15-Mar-2022	19-Mar-2022	Approved	DHfrkqxsRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540002695527	Seller	N	N	B00KOLW86O	ABBRD-G454Y3034-SZ-8.5	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,8.5 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	138.21	2	 	 	 	 	 	69.11
