Order ID,Order date,Return request date,Return request status,Amazon RMA ID,Merchant RMA ID,Label type,Label cost,Currency code,Return carrier,Tracking ID,Label to be paid by,A-to-Z Claim,Is prime,ASIN,Merchant SKU,Item Name,Return quantity,Return Reason,In policy,Return type,Resolution,Invoice number,Return delivery date,Order Amount,Order quantity,SafeT Action reason,SafeT claim id,SafeT claim state,SafeT claim creation time,SafeT claim reimbursement amount,Refunded Amount
113-5592034-4389824,09-Mar-2022,17-Mar-2022,Approved,DYypNPxGRRMA, ,AmazonPrePaidLabel,6.22,USD,UPS,1Z2A05729069504850,Not Computed,N,N,B0778KLXLJ,DA9335-SZ-6.5,"adidas Men's X 18.3 Firm Ground Soccer Shoe, Football Blue/Solar Yellow/Black, 6.5 M US",1,AMZ-PG-APP-TOO-LARGE,Y,C-Returns,StandardRefund, , , , , , , , , , 
113-5592034-4389824,09-Mar-2022,17-Mar-2022,Approved,DYypNPxGRRMA, ,AmazonPrePaidLabel,6.22,USD,UPS,1Z2A05729069504850,Not Computed,N,N,B08D3YR45M,D97979-SZ-6.5,"adidas Nemeziz 18.2 Fg Mens Shoes Size 6.5, Color: Black/Red",1,AMZ-PG-APP-TOO-LARGE,Y,C-Returns,StandardRefund, , , , , , , , , , 
114-1101030-8377053,15-Feb-2022,17-Mar-2022,Approved,DfyBN1xnRRMA, ,AmazonPrePaidLabel,8.46,USD,UPS,1Z2A05729069500381,Seller,N,N,B0811H89QL,EG8193-SZ-6.5,"adidas mens X Ghosted.3 Firm Ground Soccer Shoe, White/Gold/Silver, 6.5 US",1,AMZ-PG-APP-TOO-LARGE,Y,C-Returns,StandardRefund, , ,74.35,1, , , , , , 
112-1016747-7264245,15-Mar-2022,17-Mar-2022,Approved,DQygNtxnRRMA, ,AmazonPrePaidLabel,5.52,USD,UPS,1Z2A05729069501004,Seller,N,N,B07ZSBWJ5P,FV5726-SZ-9.5,"adidas Men's FV5726 Baseball Shoe, Core Black/Footwear White/Core Black, 9.5",1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund, , ,86.32,1, , , , , , 
114-7296494-2926669,11-Mar-2022,17-Mar-2022,Approved,D7ypN6xFRRMA, ,AmazonPrePaidLabel,5.52,USD,UPS,1Z2A05729069486479,Seller,N,N,B07XDD6DH3,MSS-G27955-SZ-9,"adidas Adizero 8.0 Cleats Men's, White, Size 9",1,CR-QUALITY_UNACCEPTABLE,Y,C-Returns,StandardRefund, , ,107.04,1, , , , , , 
112-4295825-5917841,25-Feb-2022,17-Mar-2022,Approved,DsyFNBxDRRMA, ,AmazonPrePaidLabel,5.90,USD,UPS,1Z2A05729069485541,Seller,N,N,B07V5RK8DN,MSS-CG6253-SZ-7,"adidas Originals Nite Jogger Womens Shoes Size 7, Color: Black",1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund, , ,61.38,1, , , , , , 
113-6683621-5537046,05-Mar-2022,17-Mar-2022,Approved,DpymNLxYRRMA, ,AmazonPrePaidLabel,3.66,USD,USPS,9202090153540002187602,Seller,N,N,B07FKJFT5H,MSS-943827602-SZ-5,Nike Sunray Protect 2 (TD) Sandal Kids Pink 943827-602 (Size: 5C),1,AMZ-PG-APP-TOO-LARGE,Y,C-Returns,StandardRefund, , ,38.43,1, , , , , , 
111-5110002-5006634,01-Mar-2022,17-Mar-2022,Approved,DqytNSx9RRMA, ,AmazonPrePaidLabel,5.52,USD,UPS,1Z2A05729069482188,Seller,N,N,B07KT3RF4T,MSS-EE4563-SZ-7.5,"adidas Originals Women's U_Path X W Running Shoe, Soft Vision/Chalk Purple/White, 7.5 M US",1,DID_NOT_LIKE_COLOR,Y,C-Returns,StandardRefund, , ,74.79,1, , , , , , 
114-3581492-3908259,07-Mar-2022,17-Mar-2022,Approved,DhF7NjxfRRMA, ,AmazonPrePaidLabel,5.52,USD,UPS,1Z2A05729069474311,Seller,N,N,B07S4D4DY9,MSS-EF8630-SZ-7.5,"adidas Men's Adizero Primeknit Sneaker, Grey Six/core Black/Night Met, 7.5 M US",1,AMZ-PG-APP-TOO-LARGE,Y,C-Returns,StandardRefund, , ,94.66,1, , , , , , 
113-2295473-5735438,13-Mar-2022,17-Mar-2022,Approved,DLFDNWxCRRMA, ,AmazonPrePaidLabel,5.90,USD,UPS,1Z2A05729069466393,Seller,N,N,B07ZSC7DPW,EG7623-SZ-7,"adidas Men's EG7623 Baseball Shoe, Black/White/Black, 7",1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund, , ,70.82,1, , , , , , 
114-3293706-0808256,13-Mar-2022,17-Mar-2022,Approved,DjFvNjxMRRMA, ,AmazonPrePaidLabel,4.97,USD,UPS,1Z2A05729069450953,Seller,N,N,B08DJDMS4W,G28289-SZ-10,"adidas Boys Icon V Molded Cleat shoes, Grey/Footwear White, 10 Toddler",1,CR-MISSED_ESTIMATED_DELIVERY,Y,C-Returns,StandardRefund, , ,56.54,1, , , , , , 
111-9874867-1463427,13-Mar-2022,17-Mar-2022,Approved,D5F5NKxrRRMA, ,AmazonPrePaidLabel,5.52,USD,UPS,1Z2A05729069449590,Seller,N,N,B07ZSBKGVQ,EG7623-SZ-7.5,"adidas Men's EG7623 Baseball Shoe, Black/White/Black, 7.5",1,CR-UNWANTED_ITEM,Y,C-Returns,StandardRefund, , ,49.45,1, , , , , , 
112-7206765-1017827,10-Mar-2022,17-Mar-2022,Approved,D7FFNCxsRRMA, ,AmazonPrePaidLabel,3.66,USD,USPS,9202090153540002167666,Seller,N,N,B07XYXRPCC,MSS-FM3276-SZ-L,"adidas Originals Women's Trefoil Dress, Black/White, L",1,AMZ-PG-APP-TOO-LARGE,Y,C-Returns,StandardRefund, , ,48.60,1, , , , , , 
112-9650453-8120264,10-Mar-2022,17-Mar-2022,Approved,DTF2NvxvRRMA, ,AmazonPrePaidLabel,3.66,USD,USPS,9202090153540002166676,Seller,N,N,B07H5XB6RB,MSS-16225TQPK-SZ-10,"Skechers Women's Flip Flop Sandals, Turquoise Turquoise Pink Tqpk, 40",1,AMZ-PG-APP-TOO-LARGE,Y,C-Returns,StandardRefund, , ,42.29,1, , , , , , 
111-0231051-4349022,06-Mar-2022,17-Mar-2022,Approved,D2FcNSxVRRMA, ,AmazonPrePaidLabel,5.52,USD,UPS,1Z2A05729069442515,Seller,N,N,B0811DLR12,FW9204-SZ-7.5,adidas Flexible Ground Predator Freak .4 Soccer Shoe (mens) Black/White,1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund, , ,74.23,1, , , , , , 
