Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
111-1196342-9809849	22-Feb-2022	07-Mar-2022	Approved	DQZQh6RMRRMA	 	AmazonPrePaidLabel	6.22	USD	UPS	1Z2A05729064671036	Seller	N	N	B00D3QCX62	G303N3590-SZ-6.5	ASICS Men's Gun Lap Track Shoe,Knockout Pink/Black/Fiery Flame,6.5 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	101.76	2	 	 	 	 	 	 
111-1196342-9809849	22-Feb-2022	07-Mar-2022	Approved	DQZQh6RMRRMA	 	AmazonPrePaidLabel	6.22	USD	UPS	1Z2A05729064671036	Seller	N	N	B00D3QCXPI	G303N3590-SZ-7	ASICS Men's Gun Lap Track Shoe,Knockout Pink/Black/Fiery Flame,7 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	101.76	2	 	 	 	 	 	 
112-5330432-9341061	02-Mar-2022	07-Mar-2022	Approved	DsZWhrRyRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729064660842	Seller	N	N	B00L8C3LLO	G551Y2901-SZ-7.5	ASICS Women's Hyper-Rocketgirl SP 6 Cross Country Spike Shoe, Orange/White/Dark Purple, 7.5 M US	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	48.83	1	 	 	 	 	 	 
114-9202687-4806649	02-Mar-2022	06-Mar-2022	Approved	D7Qbh0RKRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729064547546	Seller	N	N	B00L8C3K8I	G551Y2901-SZ-7	ASICS Women's Hyper-Rocketgirl SP 6 Cross Country Spike Shoe, Orange/White/Dark Purple, 7 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	98.06	2	 	 	 	 	 	 
113-9336008-8254656	27-Feb-2022	06-Mar-2022	Approved	DxT2hBR2RRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729064397333	Seller	N	N	B006H32TI0	J203Y2193-SZ-10.5	ASICS Men's Split Second 9 Wrestling Shoe,Red/Silver/Black,10.5 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	71.84	1	 	 	 	 	 	 
111-1060715-0884265	25-Feb-2022	06-Mar-2022	Approved	DxH8hfRmRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540086111708	Seller	N	N	B00KOH5WYI	G454Y3034-SZ-8	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,8 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	57.53	1	 	 	 	 	 	 
114-6073141-4507409	27-Feb-2022	06-Mar-2022	Approved	D8HRhSRyRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540086099860	Seller	N	N	B081QS4YB1	MSS-8160CBWHITE-SZ-XL	Champion Boys Heritage Short Sleeve Cotton Logo Tee Kids (Gradient White, X-Large)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	17.23	1	 	 	 	 	 	 
111-8154564-0084267	25-Feb-2022	05-Mar-2022	Approved	DZfFhPRKRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729064217214	Seller	N	N	B00L8C3PDS	G551Y2901-SZ-9	ASICS Women's Hyper-Rocketgirl SP 6 Cross Country Spike Shoe, Orange/White/Dark Purple, 9 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	48.16	1	 	 	 	 	 	 
113-7114709-1613826	21-Feb-2022	05-Mar-2022	Approved	Dr0WhhR3RRMA	 	AmazonPrePaidLabel	5.90	USD	UPS	1Z2A05729064167868	Seller	N	N	B004DCBD02	MSS-P121Y9093-SZ-11.5	ASICS Men's GEL-Provost Low Sport Style Sneaker,Black/Silver/White,11.5 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	67.72	1	 	 	 	 	 	 
111-7410412-6618623	02-Mar-2022	05-Mar-2022	Approved	Dk0lhJR4RRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729064151482	Seller	N	N	B07SH26V37	MSS-5SR21178444-SZ-10	Fila Knightbridge Energized Womens Shoes Size 10, Color: NVY/TRQ	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	49.46	1	 	 	 	 	 	 
112-8960458-5501869	25-Feb-2022	05-Mar-2022	Approved	DhLthMRZRRMA	 	AmazonPrePaidLabel	5.90	USD	UPS	1Z2A05729064144801	Seller	N	N	B00GY04Z2E	B457Y9328-SZ-8.5	ASICS Women's Gel 1150V Volley Ball Shoe,Silver/Cardinal/Black,8.5 M US	1	CR-SWITCHEROO	Y	C-Returns	StandardRefund	 	 	63.00	1	 	 	 	 	 	 
