Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
114-0098633-3241018	27-Dec-2021	31-Dec-2021	Approved	DWTg0SR4RRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729029956910	Seller	N	N	B08GN9N6F1	MSS-CD5079003-SZ-7	Nike Pg 4 Mens Shoes Size 7, Color: Black/University Red/White	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	119.10	1	 	 	 	 	 	119.10
112-7812275-3407416	28-Dec-2021	31-Dec-2021	Approved	DhTC0NRNRRMA	 	AmazonPrePaidLabel	6.13	USD	UPS	1Z2A05729029953048	Seller	N	N	B075ZYKVGM	MSS-AJ8799101-SZ-6	Nike Womens Ashin Modern Running Trainers AJ8799 Sneakers Shoes (UK 3.5 US 6 EU 36.5, Summit White 101)	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	86.10	1	 	 	 	 	 	86.10
113-7088783-6813828	07-Dec-2021	31-Dec-2021	Approved	DhcN0PRPRRMA	 	AmazonPrePaidLabel	6.13	USD	UPS	1Z2A05729029931062	Seller	N	N	B098W62PXN	MSS-1110509BWHT-SZ-8.5	HOKA ONE ONE Clifton 7 Womens Shoes Size 8.5, Color: Black/White	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	194.29	1	 	 	 	 	 	194.29
111-2677456-8684243	09-Dec-2021	31-Dec-2021	Approved	Dfcy0tRxRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729029929084	Seller	N	N	B00S4YJI16	M47620-SZ-13	Reebok Crossfit Sprint 2.0 Mens Training Shoe, Black / Excellent Red / Graphite / Steel, 13	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	68.89	1	 	 	 	 	 	 
114-7981443-6685811	10-Dec-2021	31-Dec-2021	Approved	D7cj0bRxRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729029929066	Seller	N	N	B09M7PYSVK	MSS-97883NCCBL-SZ-10	Skechers Flex Play Solar Steps Baby Boys Shoes Size 10, Color: Charcoal/Blue	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	31.99	1	 	 	 	 	 	31.99
114-5152070-1906626	15-Dec-2021	31-Dec-2021	Approved	D5cD0LRRRRMA	 	AmazonPrePaidLabel	6.13	USD	UPS	1Z2A05729029905297	Seller	N	N	B075ZXH47P	AJ8799101-SZ-9	Nike Womens Ashin Modern Fabric Low Top Lace Up Running, White/ROS, Size 9.0	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	74.90	1	 	 	 	 	 	74.90
112-6507701-9121000	25-Dec-2021	31-Dec-2021	Approved	DKHG0kRfRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729029903860	Seller	N	N	B09LPD58NX	MSS-1110519BFOB-SZ-11	HOKA ONE ONE Bondi 7 Womens Shoes Size 11, Color: Blue Fog/Ombre Blue	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	199.64	1	 	 	 	 	 	199.64
112-4315418-1657802	28-Dec-2021	31-Dec-2021	Approved	DhH60CR1RRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729029880224	Seller	N	N	B09LZBP2P6	MSS-1099735IPES-SZ-11	HOKA ONE ONE Tivra Womens Shoes Size 11, Color: Italian Plum/Evening Sand	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	118.42	1	 	 	 	 	 	118.42
113-4034386-6275400	06-Dec-2021	31-Dec-2021	Approved	DBHC0kR9RRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729029865616	Seller	N	N	B07BRKMGKL	CN4835-SZ-9.5	Reebok Men's Edge Series TR Cross Trainer, Black/White/Pewter, 9.5 M US	1	AMZ-PG-BAD-DESC	Y	C-Returns	RefundAtFirstScan	 	 	66.04	1	 	 	 	 	 	66.04
111-9604409-9091452	28-Dec-2021	31-Dec-2021	Approved	Dflj0XRZRRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729029856975	Seller	N	N	B096W3SBZ1	MSS-MS327TC-D-SZ-8	New Balance 327 Mens Shoes Size 8, Color: Sour Grape/Bleached Lime Glo	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	118.97	1	 	 	 	 	 	118.97
