Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
113-2712111-3598616	26-Jan-2022	31-Jan-2022	Approved	DsHn8CRsRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729049013507	Seller	N	N	B07D9GZRZF	SKBD-F34605-SZ-7	adidas Women's Ultimafusion Running Shoe, Light Brown/Light Brown/raw White, 7 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	75.67	1	 	 	 	 	 	75.67
114-4218443-7639436	23-Nov-2021	31-Jan-2022	Approved	DtCc89RVRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729048877907	Seller	N	N	B07KNC6WSS	SKBD-F34385-SZ-10	adidas Men's Nemeziz 19.2 Firm Ground Soccer Shoe, Active Red/Silver Metallic/Solar Red, 10 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	72.21	1	 	 	 	 	 	72.21
114-9430789-7801852	22-Jan-2022	31-Jan-2022	Approved	DKCR8wRkRRMA	 	AmazonPrePaidLabel	8.34	USD	UPS	1Z2A05729048867856	Seller	N	N	B07KWV1TZZ	SKBD-D97832-SZ-9.5	adidas Women's Crazyflight X 3 Volleyball Shoe, Black/White/Gum, 9.5 M US	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	69.44	1	 	 	 	 	 	69.44
111-1437839-2751428	27-Dec-2021	31-Jan-2022	Approved	DqGX85RLRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729048710890	Seller	N	N	B012E7EP1Q	SKBD-549742C-SZ-8	Converse Chuck Taylor Madison Ox Womens Shoes Size 8, Color: Black/Red	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	76.33	1	 	 	 	 	 	 
114-0863244-2804202	27-Jan-2022	30-Jan-2022	Approved	D5r28jRmRRMA	 	AmazonPrePaidLabel	8.34	USD	UPS	1Z2A05729048607252	Seller	N	N	B07D9GLK1P	SKBD-F34605-SZ-10	adidas Women's Ultimafusion Running Shoe, Light Brown/Light Brown/raw White, 10 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	77.06	1	 	 	 	 	 	77.06
112-6422583-8769010	21-Jan-2022	30-Jan-2022	Approved	DrrV8hRdRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729048603578	Seller	N	N	B07ZSB3JNB	SKBD-EG7624-SZ-5	adidas EG7624 Baseball Shoe, Black/White/Black, 5 US Unisex Little Kid	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	43.99	1	 	 	 	 	 	 
111-6592464-8853036	12-Dec-2021	30-Jan-2022	Approved	DQxY8kRhRRMA	 	AmazonPrePaidLabel	8.34	USD	UPS	1Z2A05729048542698	Seller	N	N	B0811DMHQB	SKBD-EG8193-SZ-8	adidas Men's X GHOSTED.3 Soccer Shoe, White/Metallicgold Melange/Silver Metallic(Firm Ground), 8	1	CR-DEFECTIVE	Y	C-Returns	RefundAtFirstScan	 	 	93.18	1	 	 	 	 	 	93.18
111-9178962-5164254	22-Jan-2022	30-Jan-2022	Approved	DHRP8PRmRRMA	 	AmazonPrePaidLabel	10.57	USD	UPS	1Z2A05729048495374	Seller	N	N	B07D95TRHM	SKBD-S204431-W-SZ-11	Saucony Omni ISO Navy/Blue/Citron 11 EE - Wide	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	85.49	1	 	 	 	 	 	85.49
112-9356340-5006622	15-Jan-2022	30-Jan-2022	Approved	DxpK8jR3RRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540077169886	Seller	N	N	B06W2HR7KZ	SKBD-755736C-SZ-10	Converse Shoes Chuck Taylor Infant A.	1	DID_NOT_LIKE_COLOR	Y	C-Returns	RefundAtFirstScan	 	 	43.69	1	 	 	 	 	 	43.69
113-0027635-7173848	23-Dec-2021	30-Jan-2022	Approved	D4pZ8MRvRRMA	 	AmazonPrePaidLabel	8.69	USD	UPS	1Z2A05729048441225	Seller	N	N	B07KWY4PKJ	SKBD-D97832-SZ-8.5	adidas Women's Crazyflight X 3 Volleyball Shoe, Black/White/Gum, 8.5 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	60.98	1	 	 	 	 	 	60.98
112-4142486-3420204	22-Jan-2022	30-Jan-2022	Approved	D4pl89RHRRMA	 	AmazonPrePaidLabel	7.97	USD	UPS	1Z2A05729048432735	Customer	N	N	B07L1N2JL4	SKBD-F97423-SZ-10	adidas Freak Carbon Mid Black/Night Football Shoes 10	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	75.56	1	 	 	 	 	 	 
113-1369958-6101046	22-Jan-2022	30-Jan-2022	Approved	DQKYXJRXRRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729048306130	Seller	N	N	B08TSWMMHV	SKBD-FV2823-SZ-9	adidas Mens Superstar Lace Up Sneakers Shoes Casual - White - Size 9 D	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	84.69	1	 	 	 	 	 	84.69
113-4278667-3041061	22-Jan-2022	30-Jan-2022	Approved	DsKKXMRFRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729048282700	Seller	N	N	B00S53P3QA	SKBD-1J794-SZ-7.5	Converse Chuck Taylor All Star Canvas Low Top Sneaker, Charcoal ,7.5 mens_us/9.5 womens_us	1	CR-SWITCHEROO	Y	C-Returns	RefundAtFirstScan	 	 	58.85	1	 	 	 	 	 	58.85
112-2141783-2269830	24-Jan-2022	30-Jan-2022	Approved	DKSfXXRhRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729048188152	Seller	N	N	B07CWH35FB	SKBD-5SR21486840-SZ-8.5	Fila Memory Electro Volt 2 Womens Shoes Size 8.5, Color: Orange	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	39.90	1	 	 	 	 	 	 
113-4627358-0577865	21-Jan-2022	30-Jan-2022	Approved	DZSCXCRjRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540077032029	Seller	N	N	B07S7PK7YL	SKBD-FV3164-SZ-6.5	adidas Predator 20.4 FxG Mens Shoes Size 6.5, Color: Blue/Red	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	70.81	1	 	 	 	 	 	 
112-2141783-2269830	24-Jan-2022	30-Jan-2022	Approved	DtSLX0RjRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729048185780	Seller	N	N	B07CWH35FB	SKBD-5SR21486840-SZ-8.5	Fila Memory Electro Volt 2 Womens Shoes Size 8.5, Color: Orange	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	39.90	1	 	 	 	 	 	39.90
112-3153826-1873065	23-Jan-2022	30-Jan-2022	Approved	DfSgXYRFRRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729048154634	Seller	N	N	B09JYS3VB5	SKBD-517452-SZ-8	Converse Chuck Taylor Print Hi Womens Shoes Size 8, Color: Black/Multi	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	75.67	1	 	 	 	 	 	75.67
111-3251299-8381823	22-Jan-2022	30-Jan-2022	Approved	D55rX6RFRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729048111582	Seller	N	N	B087RSBXGF	SKBD-G28289-SZ-2.5	adidas Icon V Md Boys Shoes Size 2.5, Color: Grey/Footwear White	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	42.69	1	 	 	 	 	 	42.69
111-2636684-5809025	21-Jan-2022	29-Jan-2022	Approved	DB4JXBRjRRMA	 	AmazonPrePaidLabel	7.97	USD	UPS	1Z2A05729048098133	Seller	N	N	B07D9GZFMY	SKBD-F34605-SZ-8	adidas Women's Ultimafusion Running Shoe, Light Brown/Light Brown/raw White, 8 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	74.79	1	 	 	 	 	 	 
111-9905860-1019410	22-Jan-2022	29-Jan-2022	Approved	DY4RXKRDRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729048066444	Seller	N	N	B07ZSB3JNB	SKBD-EG7624-SZ-5	adidas EG7624 Baseball Shoe, Black/White/Black, 5 US Unisex Little Kid	1	CR-MISSED_ESTIMATED_DELIVERY	Y	C-Returns	RefundAtFirstScan	 	 	43.19	1	 	 	 	 	 	43.19
