Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
112-5661481-8497007	05-Mar-2022	11-Mar-2022	Approved	Dkw6R0xkRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729066709859	Seller	N	N	B07CWH35FB	SKBD-5SR21486840-SZ-8.5	Fila Memory Electro Volt 2 Womens Shoes Size 8.5, Color: Orange	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	43.19	1	 	 	 	 	 	 
112-4245611-7080251	01-Mar-2022	11-Mar-2022	Approved	DZWSRwx0RRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729066695150	Seller	N	N	B07ZSC7DPW	SKBD-EG7623-SZ-7	adidas Men's EG7623 Baseball Shoe, Black/White/Black, 7	1	CR-MISSED_ESTIMATED_DELIVERY	Y	C-Returns	StandardRefund	 	 	49.22	1	 	 	 	 	 	 
114-5206544-2513835	26-Feb-2022	11-Mar-2022	Approved	DkWqRbxMRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540000591685	Seller	N	N	B078HG6ZH3	SKBD-742914C-SZ-9	Converse Chuck Taylor Side Zip Hi Infant/Toddler Shoes Size 9, Color: Lanvendar/Ink	1	CR-MISSED_ESTIMATED_DELIVERY	Y	C-Returns	StandardRefund	 	 	57.08	1	 	 	 	 	 	 
113-4123621-7169863	04-Mar-2022	11-Mar-2022	Approved	DT9LRSxmRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729066653034	Seller	N	N	B01BPL5PRK	SKBD-AQ3325-SZ-6.5	adidas Men's HVC Wrestling Shoe, Black/White/Iron Metallic, 6.5	1	CR-QUALITY_UNACCEPTABLE	Y	Amazon CS	StandardRefund	 	 	68.50	1	 	 	 	 	 	 
113-8907138-4336252	04-Mar-2022	11-Mar-2022	Approved	DL96RFxmRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729066652991	Seller	N	N	B01BPL5PRK	SKBD-AQ3325-SZ-6.5	adidas Men's HVC Wrestling Shoe, Black/White/Iron Metallic, 6.5	1	CR-QUALITY_UNACCEPTABLE	Y	Amazon CS	StandardRefund	 	 	68.50	1	 	 	 	 	 	 
112-7807811-9717831	03-Mar-2022	11-Mar-2022	Approved	DB9DRpxDRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729066628240	Seller	N	N	B087RT1Q1C	SKBD-G28289-SZ-1.5	adidas Icon V Md Boys Shoes Size 1.5, Color: Grey/Footwear White	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	62.80	1	 	 	 	 	 	 
112-2920732-9102640	02-Mar-2022	11-Mar-2022	Approved	DQQrR3xCRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729066612417	Seller	N	N	B07ZSBW1RC	SKBD-EG5641-SZ-8.5	adidas Men's EG5641 Baseball Shoe, Power Red/White/Power Red, 8.5	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	52.89	1	 	 	 	 	 	 
112-8395899-6802617	05-Mar-2022	11-Mar-2022	Approved	D2QDRvx6RRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540000550668	Seller	N	N	B087RTBQFY	SKBD-G28289-SZ-11	adidas Icon V Md Boys Shoes Size 11, Color: Grey/Footwear White	1	DID_NOT_LIKE_COLOR	Y	C-Returns	StandardRefund	 	 	43.99	1	 	 	 	 	 	 
112-7387020-5625007	04-Mar-2022	11-Mar-2022	Approved	D2QfR8xJRRMA	 	AmazonPrePaidLabel	5.90	USD	UPS	1Z2A05729066596945	Seller	N	N	B07S7PM6YB	SKBD-G27670-SZ-9	adidas Men's Afterburner 6 Grail MD Cleats Baseball Shoe, core Black/FTWR White/Collegiate Royal, 9 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	109.54	2	 	 	 	 	 	 
113-0760251-1261811	01-Mar-2022	11-Mar-2022	Approved	DsQmRbxbRRMA	 	AmazonPrePaidLabel	5.90	USD	UPS	1Z2A05729066576341	Seller	N	N	B0811GBYCN	SKBD-FW6783-SZ-9.5	adidas Men's X GHOSTED.4 Soccer Shoe, White/Black/Silver, 9.5	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	76.26	1	 	 	 	 	 	 
112-9666911-8393039	06-Mar-2022	11-Mar-2022	Approved	Df6pRhxhRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540000535528	Seller	N	N	B09K2RCP69	SKBD-742374C-SZ-8	Converse Chuck Taylor Ox Jungle Infant/Toddler Shoes Size 8, Color: Green	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	43.69	1	 	 	 	 	 	 
111-7635734-2138625	23-Feb-2022	11-Mar-2022	Approved	Dr6gRYxYRRMA	 	AmazonPrePaidLabel	5.90	USD	UPS	1Z2A05729066543153	Seller	N	N	B003Z4KSDW	SKBD-1006980-SZ-9	KEEN Utility Men's PTC Oxford Low Height Non Slip Food Service Chef Shoe, Black/Black, 9 Medium US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	89.13	1	 	 	 	 	 	 
114-9211024-8453015	27-Feb-2022	10-Mar-2022	Approved	DtzFRrx0RRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729066484931	Seller	N	N	B07TGPGKBC	SKBD-EH3401-SZ-4.5	adidas Boy's Freak 20 Molded Cleats Football Shoe, White/Gold Metallic/White, 10 Little Kid	1	CR-SWITCHEROO	Y	C-Returns	StandardRefund	 	 	64.28	1	 	 	 	 	 	 
111-0841524-1205031	25-Feb-2022	10-Mar-2022	Approved	D8zzRCxtRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729066482451	Seller	N	N	B09K33KMCN	SKBD-740490C-SZ-7	Converse Ct Street Slip Infant/Toddler Shoes Size 7, Color: Grey	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	86.18	2	 	 	 	 	 	 
111-0841524-1205031	25-Feb-2022	10-Mar-2022	Approved	D8zzRCxtRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729066482451	Seller	N	N	B09K4L7HD2	SKBD-742845C-SZ-8	Converse Chuck Taylor Axel Mid Infant/Toddler Shoes Size 8, Color: Grey/Blue	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	86.18	2	 	 	 	 	 	 
112-0939284-3906619	04-Mar-2022	10-Mar-2022	Approved	DvzgRFxNRRMA	 	AmazonPrePaidLabel	4.97	USD	UPS	1Z2A05729066459656	Seller	N	N	B087RSX13V	SKBD-G28289-SZ-13	adidas Icon V Md Boys Shoes Size 13, Color: Grey/Footwear White	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	43.64	1	 	 	 	 	 	 
113-5997600-9548245	05-Mar-2022	10-Mar-2022	Approved	DLzCRRxNRRMA	 	AmazonPrePaidLabel	4.97	USD	UPS	1Z2A05729066458942	Seller	N	N	B077XBXH2F	SKBD-DB2001-SZ-7.5	adidas Predator 18.3 Fg Soccer Shoe (mens) Black/White/Red 7.5	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	63.64	1	 	 	 	 	 	 
112-1561132-4137843	08-Mar-2022	10-Mar-2022	Approved	DTTQRQx0RRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729066445483	Seller	N	N	B07S9T9ZQT	SKBD-EE6526-SZ-12	adidas Freak Ghost Cleats Men's, Core Black/White/Clear Grey, Size 12	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	96.80	1	 	 	 	 	 	 
112-1408877-3573061	28-Feb-2022	10-Mar-2022	Approved	DqTGRvxnRRMA	 	AmazonPrePaidLabel	8.46	USD	UPS	1Z2A05729066439329	Seller	N	N	B07KX86LHZ	SKBD-D97832-SZ-9	adidas Women's Crazyflight X 3 Volleyball Shoe, Black/White/Gum, 9 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	69.44	1	 	 	 	 	 	 
113-3372376-0435454	08-Mar-2022	10-Mar-2022	Approved	DZTPRNxwRRMA	 	AmazonPrePaidLabel	8.46	USD	UPS	1Z2A05729066422702	Seller	N	N	B07SBTSPZ6	SKBD-G27670-SZ-9.5	adidas Men's Afterburner 6 Grail MD Cleats Baseball Shoe, core Black/FTWR White/Collegiate Royal, 9.5 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	75.75	1	 	 	 	 	 	 
112-1318895-0903446	02-Mar-2022	10-Mar-2022	Approved	DWTDR6xRRRMA	 	AmazonPrePaidLabel	8.46	USD	UPS	1Z2A05729066415354	Seller	N	N	B0811H1PGS	SKBD-FW6783-SZ-10.5	adidas mens X Ghosted.4 Firm Ground Soccer Shoe, White/Black/Silver, 10.5 US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	74.53	1	 	 	 	 	 	 
112-7757100-9829860	02-Mar-2022	10-Mar-2022	Approved	DZcTRMx0RRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729066401850	Seller	N	N	B00PJ86VKQ	SKBD-S202821-SZ-11.5	Saucony Men's Kinvara 6 Running Shoe, White/Citron/Orange,11.5 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	88.14	1	 	 	 	 	 	 
113-0491057-0562615	05-Mar-2022	10-Mar-2022	Approved	DpHwRDxmRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729066360396	Seller	N	N	B07NQDDDNV	SKBD-G28290-SZ-6	adidas unisex baby Icon V Md Sneaker, Ftwr White/ Silver Met Ftwr White, 6 Standard US Width US Toddler	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	43.44	1	 	 	 	 	 	 
