Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
111-0561116-2479406	20-Mar-2022	07-Apr-2022	Approved	Dkwc9jxJRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540007871308	Seller	N	N	B00KOLW85U	ABBRD-G454Y3034-SZ-9.5	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,9.5 M US	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	71.54	1	 	 	 	 	 	 
114-3798437-4340254	24-Mar-2022	07-Apr-2022	Approved	DsQH9Lx5RRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540007807376	Seller	N	N	B00KOLW7XI	ABBRD-G454Y3034-SZ-7.5	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,7.5 M US	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	64.39	1	 	 	 	 	 	 
114-7584399-8766628	31-Mar-2022	07-Apr-2022	Approved	D56D9XxqRRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729079128186	Seller	N	N	B01G1XUPJK	ABBRD-G604Y4101-SZ-12	ASICS Unisex-Adult GUNLAP Track Shoe, Island Blue/White/Hot Orange, 12 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	47.59	1	 	 	 	 	 	 
112-3692450-4241833	26-Mar-2022	07-Apr-2022	Approved	DK6J9wxPRRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729079114566	Seller	N	N	B01G1XUPJK	ABBRD-G604Y4101-SZ-12	ASICS Unisex-Adult GUNLAP Track Shoe, Island Blue/White/Hot Orange, 12 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	47.59	1	 	 	 	 	 	 
111-0327238-9941063	29-Mar-2022	06-Apr-2022	Approved	Dkzp9dx6RRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540007734320	Seller	N	N	B00KOH5V0I	ABBRD-G454Y3034-SZ-7	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,7 M US	1	CR-MISSED_ESTIMATED_DELIVERY	Y	C-Returns	StandardRefund	 	 	59.90	1	 	 	 	 	 	 
112-8230343-0652223	01-Apr-2022	06-Apr-2022	Approved	DrTV9nxRRRMA	 	AmazonPrePaidLabel	8.25	USD	UPS	1Z2A05729078967870	Seller	N	N	B072JTWQZ3	ABBRD-S204153-SZ-10.5	Saucony Men's Guide ISO Running Shoe, Navy/red, 10.5 Medium US	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	 	86.90	1	 	 	 	 	 	 
113-5742039-0203453	30-Mar-2022	06-Apr-2022	Approved	Dscr9CxRRRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729078925870	Seller	N	N	B07954B4M9	AB-S7036839-SZ-7.5	Saucony Originals Jazz Original Vintage Mens Shoes Size 7.5 Color: Blue	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	99.11	1	 	 	 	 	 	 
114-0908110-8216200	18-Mar-2022	06-Apr-2022	Approved	DBHk97xPRRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729078905561	Seller	N	N	B00GY04ZVA	ABBRD-B457Y9328-SZ-8	ASICS Women's Gel 1150V Volley Ball Shoe,Silver/Cardinal/Black,8 M US	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	StandardRefund	 	 	66.04	1	 	 	 	 	 	 
113-5986536-3852200	29-Mar-2022	06-Apr-2022	Approved	DHl79TxBRRMA	 	AmazonPrePaidLabel	6.02	USD	UPS	1Z2A05729078841826	Seller	N	N	B09VJJPBM2	AB-1011B158001-SZ-12	ASICS Gel-Kayano 27 Platinum Mens Shoes Size 12, Color: Black/Metallic Silver/White	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	183.92	1	 	 	 	 	 	 
112-0991569-8355457	31-Mar-2022	06-Apr-2022	Approved	D8Yy9mxXRRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729078828707	Seller	N	N	B004FV51XQ	ABBRD-P105L9005-SZ-6.5	ASICS Men's Lethal Tigreor 4 ST Soccer Shoe,Black/White/Pacific Blue,6.5 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	180.36	2	 	 	 	 	 	 
114-1475458-7902619	28-Mar-2022	06-Apr-2022	Approved	DfYr9pxDRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540007609079	Seller	N	N	B00KOLW7XI	ABBRD-G454Y3034-SZ-7.5	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,7.5 M US	1	CR-MISSED_ESTIMATED_DELIVERY	Y	C-Returns	StandardRefund	 	 	77.51	1	 	 	 	 	 	 
114-7301934-0597821	04-Mar-2022	06-Apr-2022	Approved	DWCr9kx4RRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540007582853	Seller	N	N	B088PLZLDC	ABBRD-739792C-SZ-6	Converse Ct Ox Infant/Toddler Shoe Size 6, Color: Electric Yellow	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	34.42	1	 	 	 	 	 	 
114-4364394-9691420	22-Mar-2022	06-Apr-2022	Approved	DWfv9hx9RRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729078708195	Seller	N	N	B00D3QFWWE	ABBRD-G404Y0493-SZ-8	ASICS Men's Hyper LD 5 Shoe,Flash Yellow/Silver/Navy,8 M US	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	68.96	1	 	 	 	 	 	 
114-8351959-5249028	16-Mar-2022	06-Apr-2022	Approved	Dqft9sx4RRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729078707570	Seller	N	N	B00D3QFXNM	ABBRD-G404Y0493-SZ-8.5	ASICS Men's Hyper LD 5 Shoe,Flash Yellow/Silver/Navy,8.5 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	48.60	1	 	 	 	 	 	 
112-4715664-9557866	09-Mar-2022	06-Apr-2022	Approved	D80Y9sxwRRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729078667677	Seller	N	N	B07XH9Y4RK	AB-EF3473-SZ-11	adidas Adizero Spark FBG57 Mens,White/Silver Metallic/White,11	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	76.02	1	 	 	 	 	 	 
112-5305621-5913009	22-Mar-2022	06-Apr-2022	Approved	DsLZ9PxkRRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729078622894	Seller	N	N	B00D3QFWWE	ABBRD-G404Y0493-SZ-8	ASICS Men's Hyper LD 5 Shoe,Flash Yellow/Silver/Navy,8 M US	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	47.87	1	 	 	 	 	 	 
112-3412341-6405807	29-Mar-2022	06-Apr-2022	Approved	DtL398xRRRMA	 	AmazonPrePaidLabel	8.25	USD	UPS	1Z2A05729078622223	Seller	N	N	B00KOH5RUM	ABBRD-G454Y3034-SZ-10	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,10 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	84.92	1	 	 	 	 	 	84.92
